"tract","Name","Employment_Rate_rP_gP_pall"
25025051000,"East Boston, Boston, MA",0.7397
25009206700,"Lynn, MA",0.7359
25009206600,"Lynn, MA",0.7345
25025170800,"Revere, MA",0.7321
25009207200,"Lynn, MA",0.732
25025051101,"East Boston, Boston, MA",0.7319
25009221700,"Gloucester, MA",0.7312
25017350900,"Davis Square, Somerville, MA",0.7285
33015063002,"Seabrook, NH",0.7266
25025170200,"Revere, MA",0.7264
25009250400,"Lawrence, MA",0.7256
25025160300,"Chelsea, MA",0.7226
25017350103,"Ten Hills, Somerville, MA",0.7217
25025040801,"Charlestown, Boston, MA",0.7217
25009250100,"Lawrence, MA",0.7216
25017350300,"Magoun Square, Somerville, MA",0.7208
25017354500,"Neighborhood Nine, Cambridge, MA",0.7146
25017310400,"Centralville, Lowell, MA",0.7146
25017351300,"Prospect Hill, Somerville, MA",0.7054
25009207000,"Lynn, MA",0.6959
25025981502,"Revere, MA",
