"tract","Name","Frac._in_Top_20%_Based_on_Household_Income_rP_gP_pall"
25017351404,"East Somerville, Somerville, MA",0.1914
25017312000,"Back Central, Lowell, MA",0.1836
25009261000,"Haverhill, MA",0.1826
25017341901,"Malden, MA",0.1818
33015003500,"Derry, Derry, NH",0.1816
25009206700,"Lynn, MA",0.1806
25025160300,"Chelsea, MA",0.1801
25017312200,"South Lowell, Lowell, MA",0.1793
25009217400,"Beverly, MA",0.1784
25025051000,"East Boston, Boston, MA",0.1778
33015063001,"Seabrook, NH",0.1738
25017311200,"Highlands, Lowell, MA",0.1727
25009221500,"Gloucester, MA",0.1714
25017354900,"North Cambridge, Cambridge, MA",0.1713
25009251500,"Lawrence, MA",0.1712
25009250800,"Lawrence, MA",0.1696
25017311700,"Highlands, Lowell, MA",0.166
25009205900,"Lynn, MA",0.1634
25009260800,"Haverhill, MA",0.1608
25025160601,"Chelsea, MA",0.1603
25025040801,"Charlestown, Boston, MA",0.1542
25017310700,"The Acre, Lowell, MA",0.152
25017312100,"South Lowell, Lowell, MA",0.1518
25009251700,"Lawrence, MA",0.1511
25025160502,"Chelsea, MA",0.1439
25017311900,"Back Central, Lowell, MA",0.1422
25017350800,"Teele Square, Somerville, MA",0.1422
25009206500,"Lynn, MA",0.1417
33015063002,"Seabrook, NH",0.1407
25009252400,"Methuen, MA",0.1399
25017312400,"Belvidere, Lowell, MA",0.1398
25009206600,"Lynn, MA",0.1396
25025160501,"Chelsea, MA",0.1348
25009207000,"Lynn, MA",0.1338
25025050901,"Eagle Hill, Boston, MA",0.1338
25009205800,"Lynn, MA",0.1337
25025050101,"Eagle Hill, Boston, MA",0.1311
25017311800,"Highlands, Lowell, MA",0.1299
25017310100,"Downtown, Lowell, MA",0.1291
25017310400,"Centralville, Lowell, MA",0.1271
25009207200,"Lynn, MA",0.1239
25017311100,"The Acre, Lowell, MA",0.1232
25009251600,"Lawrence, MA",0.1206
25009206900,"Lynn, MA",0.1191
25009250600,"Lawrence, MA",0.1189
25017388300,"The Acre, Lowell, MA",0.1098
25009206100,"Lynn, MA",0.1097
25009251000,"Lawrence, MA",0.1078
25009206200,"Lynn, MA",0.1073
25009250200,"Lawrence, MA",0.1041
25009251400,"Lawrence, MA",0.1031
25009250300,"Lawrence, MA",0.1019
25009206000,"Lynn, MA",0.0974
25009207100,"Lynn, MA",0.0958
25025160101,"Chelsea, MA",0.0947
25009206300,"Lynn, MA",0.0896
25009250700,"Lawrence, MA",0.0869
25009250400,"Lawrence, MA",0.0855
25025160200,"Chelsea, MA",0.0842
25025160400,"Chelsea, MA",0.0816
25009204300,"The Point, Salem, MA",0.0784
25009260100,"Haverhill, MA",0.0736
25009251300,"Lawrence, MA",0.0704
25009250900,"Lawrence, MA",0.0644
25009251100,"Lawrence, MA",0.0571
25009206800,"Lynn, MA",0.0557
25009250500,"Lawrence, MA",0.0489
25009250100,"Lawrence, MA",0.0483
25009251200,"Lawrence, MA",0.0442
25025981502,"Revere, MA",
